INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (0, 'nom-0', 'prenom-0', TO_DATE('12/10/1999', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (1, 'nom-1', 'prenom-1', TO_DATE('26/4/1992', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (2, 'nom-2', 'prenom-2', TO_DATE('14/6/1998', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (3, 'nom-3', 'prenom-3', TO_DATE('27/6/1994', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (4, 'nom-4', 'prenom-4', TO_DATE('23/12/1985', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (5, 'nom-5', 'prenom-5', TO_DATE('15/4/1991', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (6, 'nom-6', 'prenom-6', TO_DATE('29/4/1999', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (7, 'nom-7', 'prenom-7', TO_DATE('15/11/1988', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (8, 'nom-8', 'prenom-8', TO_DATE('29/6/2000', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (9, 'nom-9', 'prenom-9', TO_DATE('24/8/1993', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (10, 'nom-10', 'prenom-10', TO_DATE('2/4/1980', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (11, 'nom-11', 'prenom-11', TO_DATE('24/10/1992', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (12, 'nom-12', 'prenom-12', TO_DATE('12/11/1983', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (13, 'nom-13', 'prenom-13', TO_DATE('28/1/1995', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (14, 'nom-14', 'prenom-14', TO_DATE('4/9/1997', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (15, 'nom-15', 'prenom-15', TO_DATE('27/12/1982', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (16, 'nom-16', 'prenom-16', TO_DATE('15/5/1994', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (17, 'nom-17', 'prenom-17', TO_DATE('2/6/1996', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (18, 'nom-18', 'prenom-18', TO_DATE('27/7/1992', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (19, 'nom-19', 'prenom-19', TO_DATE('4/8/1991', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (20, 'nom-20', 'prenom-20', TO_DATE('15/10/1986', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (21, 'nom-21', 'prenom-21', TO_DATE('9/10/1997', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (22, 'nom-22', 'prenom-22', TO_DATE('8/11/1989', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (23, 'nom-23', 'prenom-23', TO_DATE('18/8/1985', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (24, 'nom-24', 'prenom-24', TO_DATE('23/3/2000', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (25, 'nom-25', 'prenom-25', TO_DATE('1/6/1996', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (26, 'nom-26', 'prenom-26', TO_DATE('22/5/1982', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (27, 'nom-27', 'prenom-27', TO_DATE('19/1/1987', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (28, 'nom-28', 'prenom-28', TO_DATE('29/11/1994', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (29, 'nom-29', 'prenom-29', TO_DATE('26/10/1984', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (30, 'nom-30', 'prenom-30', TO_DATE('12/2/1998', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (31, 'nom-31', 'prenom-31', TO_DATE('14/9/1999', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (32, 'nom-32', 'prenom-32', TO_DATE('28/7/1986', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (33, 'nom-33', 'prenom-33', TO_DATE('20/1/1981', 'DD/MM/YYYY'));
INSERT INTO Etudiant (NumEtd, Nom, Prenom, DateN)  VALUES (34, 'nom-34', 'prenom-34', TO_DATE('14/3/1989', 'DD/MM/YYYY'));
